Date,Open_SP,High_SP,Low_SP,Close_SP,Adj Close_SP,Volume_SP
1/3/05,1211.920044,1217.800049,1200.319946,1202.079956,1202.079956,1510800000
1/4/05,1202.079956,1205.839966,1185.390015,1188.050049,1188.050049,1721000000
1/5/05,1188.050049,1192.72998,1183.719971,1183.73999,1183.73999,1738900000
1/6/05,1183.73999,1191.630005,1183.27002,1187.890015,1187.890015,1569100000
1/7/05,1187.890015,1192.199951,1182.160034,1186.189941,1186.189941,1477900000
1/10/05,1186.189941,1194.780029,1184.800049,1190.25,1190.25,1490400000
1/11/05,1190.25,1190.25,1180.430054,1182.98999,1182.98999,1488800000
1/12/05,1182.98999,1187.920044,1175.640015,1187.699951,1187.699951,1562100000
1/13/05,1187.699951,1187.699951,1175.810059,1177.449951,1177.449951,1510300000
1/14/05,1177.449951,1185.209961,1177.449951,1184.52002,1184.52002,1335400000
1/18/05,1184.52002,1195.97998,1180.099976,1195.97998,1195.97998,1596800000
1/19/05,1195.97998,1195.97998,1184.410034,1184.630005,1184.630005,1498700000
1/20/05,1184.630005,1184.630005,1173.420044,1175.410034,1175.410034,1692000000
1/21/05,1175.410034,1179.449951,1167.819946,1167.869995,1167.869995,1643500000
1/24/05,1167.869995,1173.030029,1163.75,1163.75,1163.75,1494600000
1/25/05,1163.75,1174.300049,1163.75,1168.410034,1168.410034,1610400000
1/26/05,1168.410034,1175.959961,1168.410034,1174.069946,1174.069946,1635900000
1/27/05,1174.069946,1177.5,1170.150024,1174.550049,1174.550049,1600600000
1/28/05,1174.550049,1175.609985,1166.25,1171.359985,1171.359985,1641800000
1/31/05,1171.359985,1182.069946,1171.359985,1181.27002,1181.27002,1679800000
2/1/05,1181.27002,1190.390015,1180.949951,1189.410034,1189.410034,1681980000
2/2/05,1189.410034,1195.25,1188.920044,1193.189941,1193.189941,1561740000
2/3/05,1193.189941,1193.189941,1185.640015,1189.890015,1189.890015,1554460000
2/4/05,1189.890015,1203.469971,1189.670044,1203.030029,1203.030029,1648160000
2/7/05,1203.030029,1204.150024,1199.27002,1201.719971,1201.719971,1347270000
2/8/05,1201.719971,1205.109985,1200.160034,1202.300049,1202.300049,1416170000
2/9/05,1202.300049,1203.829956,1191.540039,1191.98999,1191.98999,1511040000
2/10/05,1191.98999,1198.75,1191.540039,1197.01001,1197.01001,1491670000
2/11/05,1197.01001,1208.380005,1193.280029,1205.300049,1205.300049,1562300000
2/14/05,1205.300049,1206.930054,1203.589966,1206.140015,1206.140015,1290180000
2/15/05,1206.140015,1212.439941,1205.52002,1210.119995,1210.119995,1527080000
2/16/05,1210.119995,1212.439941,1205.060059,1210.339966,1210.339966,1490100000
2/17/05,1210.339966,1211.329956,1200.73999,1200.75,1200.75,1580120000
2/18/05,1200.75,1202.920044,1197.349976,1201.589966,1201.589966,1551200000
2/22/05,1201.589966,1202.47998,1184.160034,1184.160034,1184.160034,1744940000
2/23/05,1184.160034,1193.52002,1184.160034,1190.800049,1190.800049,1501090000
2/24/05,1190.800049,1200.420044,1187.800049,1200.199951,1200.199951,1518750000
2/25/05,1200.199951,1212.150024,1199.609985,1211.369995,1211.369995,1523680000
2/28/05,1211.369995,1211.369995,1198.130005,1203.599976,1203.599976,1795480000
3/1/05,1203.599976,1212.25,1203.599976,1210.410034,1210.410034,1708060000
3/2/05,1210.410034,1215.790039,1204.219971,1210.079956,1210.079956,1568540000
3/3/05,1210.079956,1215.719971,1204.449951,1210.469971,1210.469971,1616240000
3/4/05,1210.469971,1224.76001,1210.469971,1222.119995,1222.119995,1636820000
3/7/05,1222.119995,1229.109985,1222.119995,1225.310059,1225.310059,1488830000
3/8/05,1225.310059,1225.689941,1218.569946,1219.430054,1219.430054,1523090000
3/9/05,1219.430054,1219.430054,1206.660034,1207.01001,1207.01001,1704970000
3/10/05,1207.01001,1211.22998,1201.410034,1209.25,1209.25,1604020000
3/11/05,1209.25,1213.040039,1198.150024,1200.079956,1200.079956,1449820000
3/14/05,1200.079956,1206.829956,1199.51001,1206.829956,1206.829956,1437430000
3/15/05,1206.829956,1210.540039,1197.75,1197.75,1197.75,1513530000
3/16/05,1197.75,1197.75,1185.609985,1188.069946,1188.069946,1653190000
3/17/05,1188.069946,1193.280029,1186.339966,1190.209961,1190.209961,1581930000
3/18/05,1190.209961,1191.97998,1182.780029,1189.650024,1189.650024,2344370000
3/21/05,1189.650024,1189.650024,1178.819946,1183.780029,1183.780029,1819440000
3/22/05,1183.780029,1189.589966,1171.630005,1171.709961,1171.709961,2114470000
3/23/05,1171.709961,1176.26001,1168.699951,1172.530029,1172.530029,2246870000
3/24/05,1172.530029,1180.109985,1171.420044,1171.420044,1171.420044,1721720000
3/28/05,1171.420044,1179.910034,1171.420044,1174.280029,1174.280029,1746220000
3/29/05,1174.280029,1179.390015,1163.689941,1165.359985,1165.359985,2223250000
3/30/05,1165.359985,1181.540039,1165.359985,1181.410034,1181.410034,2097110000
3/31/05,1181.410034,1184.530029,1179.48999,1180.589966,1180.589966,2214230000
4/1/05,1180.589966,1189.800049,1169.910034,1172.920044,1172.920044,2168690000
4/4/05,1172.790039,1178.609985,1167.719971,1176.119995,1176.119995,2079770000
4/5/05,1176.119995,1183.560059,1176.119995,1181.390015,1181.390015,1870800000
4/6/05,1181.390015,1189.339966,1181.390015,1184.069946,1184.069946,1797400000
4/7/05,1184.069946,1191.880005,1183.810059,1191.140015,1191.140015,1900620000
4/8/05,1191.140015,1191.75,1181.130005,1181.199951,1181.199951,1661330000
4/11/05,1181.199951,1184.069946,1178.689941,1181.209961,1181.209961,1525310000
4/12/05,1181.209961,1190.170044,1170.849976,1187.76001,1187.76001,1979830000
4/13/05,1187.76001,1187.76001,1171.400024,1173.790039,1173.790039,2049740000
4/14/05,1173.790039,1174.670044,1161.699951,1162.050049,1162.050049,2355040000
4/15/05,1162.050049,1162.050049,1141.920044,1142.619995,1142.619995,2689960000
4/18/05,1142.619995,1148.920044,1139.800049,1145.97998,1145.97998,2180670000
4/19/05,1145.97998,1154.670044,1145.97998,1152.780029,1152.780029,2142700000
4/20/05,1152.780029,1155.5,1136.150024,1137.5,1137.5,2217050000
4/21/05,1137.5,1159.949951,1137.5,1159.949951,1159.949951,2308560000
4/22/05,1159.949951,1159.949951,1142.949951,1152.119995,1152.119995,2045880000
4/25/05,1152.119995,1164.050049,1152.119995,1162.099976,1162.099976,1795030000
4/26/05,1162.099976,1164.800049,1151.829956,1151.829956,1151.829956,1959740000
4/27/05,1151.73999,1159.869995,1144.420044,1156.380005,1156.380005,2151520000
4/28/05,1156.380005,1156.380005,1143.219971,1143.219971,1143.219971,2182270000
4/29/05,1143.219971,1156.969971,1139.189941,1156.849976,1156.849976,2362360000
5/2/05,1156.849976,1162.869995,1154.709961,1162.160034,1162.160034,1980040000
5/3/05,1162.160034,1166.890015,1156.709961,1161.170044,1161.170044,2167020000
5/4/05,1161.170044,1176.01001,1161.170044,1175.650024,1175.650024,2306480000
5/5/05,1175.650024,1178.619995,1166.77002,1172.630005,1172.630005,1997100000
5/6/05,1172.630005,1177.75,1170.5,1171.349976,1171.349976,1707200000
5/9/05,1171.349976,1178.869995,1169.380005,1178.839966,1178.839966,1857020000
5/10/05,1178.839966,1178.839966,1162.97998,1166.219971,1166.219971,1889660000
5/11/05,1166.219971,1171.77002,1157.709961,1171.109985,1171.109985,1834970000
5/12/05,1171.109985,1173.369995,1157.76001,1159.359985,1159.359985,1995290000
5/13/05,1159.359985,1163.75,1146.180054,1154.050049,1154.050049,2188590000
5/16/05,1154.050049,1165.75,1153.640015,1165.689941,1165.689941,1856860000
5/17/05,1165.689941,1174.349976,1159.859985,1173.800049,1173.800049,1887260000
5/18/05,1173.800049,1187.900024,1173.800049,1185.560059,1185.560059,2266320000
5/19/05,1185.560059,1191.089966,1184.48999,1191.079956,1191.079956,1775860000
5/20/05,1191.079956,1191.219971,1185.189941,1189.280029,1189.280029,1631750000
5/23/05,1189.280029,1197.439941,1188.76001,1193.859985,1193.859985,1681170000
5/24/05,1193.859985,1195.290039,1189.869995,1194.069946,1194.069946,1681000000
5/25/05,1194.069946,1194.069946,1185.959961,1190.01001,1190.01001,1742180000
5/26/05,1190.01001,1198.949951,1190.01001,1197.619995,1197.619995,1654110000
5/27/05,1197.619995,1199.560059,1195.280029,1198.780029,1198.780029,1381430000
5/31/05,1198.780029,1198.780029,1191.5,1191.5,1191.5,1840680000
6/1/05,1191.5,1205.640015,1191.030029,1202.219971,1202.219971,1810100000
6/2/05,1202.27002,1204.670044,1198.420044,1204.290039,1204.290039,1813790000
6/3/05,1204.290039,1205.089966,1194.550049,1196.02002,1196.02002,1627520000
6/6/05,1196.02002,1198.780029,1192.75,1197.51001,1197.51001,1547120000
6/7/05,1197.51001,1208.849976,1197.26001,1197.26001,1197.26001,1851370000
6/8/05,1197.26001,1201.969971,1193.329956,1194.670044,1194.670044,1715490000
6/9/05,1194.670044,1201.859985,1191.089966,1200.930054,1200.930054,1824120000
6/10/05,1200.930054,1202.790039,1192.640015,1198.109985,1198.109985,1664180000
6/13/05,1198.109985,1206.030029,1194.51001,1200.819946,1200.819946,1661350000
6/14/05,1200.819946,1207.530029,1200.180054,1203.910034,1203.910034,1698150000
6/15/05,1203.910034,1208.079956,1198.660034,1206.579956,1206.579956,1840440000
6/16/05,1206.550049,1212.099976,1205.469971,1210.959961,1210.959961,1776040000
